Country,Year,Population,Taux d'épargne,Taux de croissance démographique,GDP (constant 2015 US$),Gross Fixed Capital Formation (constant 2015 US$),"Population ages 15-64, total",Gross Fixed Capital Formation (% GDP)
Belgium,2004,10421137,27.1943475754274,0.432788248129175,395760365571.447,86171510267.2351,6835118,21.4618504095247
Belgium,2005,10478617,27.3168221709726,0.550055708089009,404948884226.677,91115839218.8047,6878738,22.1538935922611
Belgium,2006,10547958,27.8480009657266,0.659558214980699,415284559325.884,92852062684.725,6941221,22.3254390645591
Belgium,2007,10625700,28.7795848698255,0.734330830765919,430554260439.959,99613433130.6808,7010765,23.2930144412895
Belgium,2008,10709973,27.4273411880211,0.789976845480149,432478428732.474,101512946937.253,7073147,24.1181419052712
Belgium,2009,10796493,24.2826299570446,0.804599572619861,424233483110.434,94326731800.8351,7126659,22.5500517779492
Belgium,2010,10895586,24.3820400904232,0.913639391631709,435731531622.915,94226507282.3992,7184817,21.9382428923496
Belgium,2011,11038264,22.6227585513132,1.3010029017038,444146182789.14,99352602183.2754,7260019,22.7900061624511
Belgium,2012,11106932,23.8234148499025,0.620163579337378,445104666566.067,100078944797.123,7278246,22.8236232419409
Belgium,2013,11159407,23.5217801711409,0.471340143966627,446464436746.25,97887223018.5984,7286098,22.1558511394486
Belgium,2014,11209057,23.6160903932113,0.44392928847521,454346946668.411,103508968394.078,7290315,22.8409196700006
Belgium,2015,11274196,24.2517440637953,0.579446241677791,461044767544.531,106741020496.445,7310530,23.1519860999475
Belgium,2016,11331422,24.1059871833229,0.506300002451376,466547349016.531,111321506885.792,7326984,23.5198221753782
Belgium,2017,11375158,24.3453287893002,0.385228018372369,473426438780.183,112693371865.996,7330451,23.5041514887444
Belgium,2018,11427054,23.7790601854148,0.455184695275022,482317238512.932,116079941390.589,7341283,23.7749835796852
Belgium,2019,11488980,24.7643982805505,0.540461327098122,494099718421.514,121222240727.233,7362072,24.2312098845978
Belgium,2020,11538604,24.4673624740108,0.430996815099722,470417598481.151,115043533194.814,7381890,24.0338724949105
Belgium,2021,11586195,26.4579098332101,0.411601996532257,499595504127.06,120013562902.982,7399545,23.9125795022837
Belgium,2022,11680210,24.2498245006142,0.808165350001861,520745539238.467,122075437278.404,7440659,23.8517836064503
Belgium,2023,11787423,23.9045374132728,0.913715890414841,527263714444.414,126396847969.739,7492555,24.448224663042
Canada,1990,27691138,17.7598907649728,1.50766067284807,877824201432.118,181839059837.161,18842577,21.7046416899472
Canada,1991,28037420,15.1422078826112,1.24276123131684,859468413002.863,174159361720.183,19032708,20.2636750060205
Canada,1992,28371264,14.0569176510518,1.18367554138942,867121689189.495,169040127573.427,19214668,19.3853036317779
Canada,1993,28684764,14.8838279479694,1.09893087887878,890167242008.604,167076911210.221,19398191,18.6566394971066
